cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
54 50 655 0 0 0 0 0 1.0011 0 0.9366 -0.0811 0.3519 0.5599 2.7788 0.814 0.0047 0.4284 0.6114 4.0902 -0.1347 0.1347 0.4492 0 0
54 51 569 0 0 0 0 0 1.0003 0 0.9542 0.1554 0.2805 0.3597 1.9355 0.7866 0.1516 0.4738 0.6623 4.1451 0.0212 0.0212 0.4429 0 0
54 52 623 0 0 0 0 0 1.0008 0 0.9749 0.0362 0.1962 0.2398 1.7145 0.7201 0.1199 0.5083 0.7144 4.0235 -0.2466 0.2466 0.3977 0 0
54 53 629 0 0 0 0 0 1.0022 0 0.9595 0.0093 0.2725 0.3471 2.6678 0.7593 0.0847 0.4658 0.612 4.1112 -0.0247 0.0247 0.5123 0 0
54 54 600 0 0 0 0 0 1.0007 0 0.9668 -0.0212 0.2007 0.2749 2.2345 0.7796 0.029 0.4059 0.5389 4.0538 0.0101 0.0101 0.4408 0 0
54 55 634 0 0 0 0 0 1.0004 0 0.9517 0.1912 0.3572 0.5007 2.8002 0.7964 0.0992 0.4603 0.6249 4.1487 0.0695 0.0695 0.5297 0 0
54 56 611 0 0 0 0 0 1.0005 0 0.9415 -0.1096 0.3325 0.4214 2.0991 0.7479 -0.0322 0.4689 0.6312 4.1535 0.0626 0.0626 0.443 0 0
54 57 628 1 0 0 0 0 1.0001 0 0.9387 0.1606 0.2875 0.4869 2.936 0.824 0.1042 0.4323 0.5614 4.206 0.1669 0.1669 0.5148 1 0
54 58 458 0 0 0 0 0 1.001 0 0.8746 -0.2845 0.387 0.6968 3.0456 0.7668 -0.1428 0.4891 0.6345 4.1234 0.0488 0.0488 0.4948 0 0
54 59 650 0 0 0 0 0 1.0005 0 0.9465 -0.2608 0.3228 0.4718 2.1469 0.7901 -0.1993 0.4783 0.6292 4.0547 -0.0789 0.0789 0.4233 0 0
54 60 560 0 0 0 0 0 1.0003 0 0.9605 -0.0459 0.2328 0.2888 2.2079 0.804 -0.0394 0.4427 0.639 4.118 0.096 0.096 0.4769 0 0
54 61 607 0 0 0 0 0 1.0021 0 0.9559 0.1035 0.2526 0.3222 2.2313 0.7699 0.0937 0.5135 0.6855 4.1596 -0.0873 0.0873 0.4927 0 0
54 62 561 0 0 0 0 0 1.0005 0 0.9436 0.2174 0.346 0.4574 2.3773 0.8332 0.1002 0.4209 0.5588 4.1252 -0.1547 0.1547 0.4563 0 0
54 63 551 0 0 0 0 0 1.0009 0 0.9598 -0.2148 0.3451 0.4706 2.8195 0.7464 -0.0482 0.4653 0.6275 4.067 -0.0694 0.0694 0.4901 0 0
54 64 630 0 0 0 0 0 1.0003 0 0.9058 0.0317 0.2692 0.3428 1.4917 0.7784 -0.0027 0.4259 0.6243 4.1022 0.0847 0.0847 0.4249 0 0
54 65 617 0 0 0 0 0 1.0007 0 0.943 -0.314 0.4144 0.6198 2.6337 0.7467 -0.1418 0.4894 0.6265 4.0288 0.2287 0.2287 0.4537 0 0
54 66 600 0 0 0 0 0 1.0002 0 0.9798 -0.1386 0.2102 0.2422 1.7476 0.7631 -0.1652 0.4882 0.6413 4.036 0.0967 0.0967 0.4266 0 0
54 67 594 0 0 0 0 0 1.0005 0 0.9605 -0.2047 0.4523 0.6698 2.7759 0.7583 -0.0823 0.4576 0.6311 4.0607 0.003 0.003 0.488 0 0
54 68 596 0 0 0 0 0 1.0017 0 0.9319 0.0018 0.2525 0.3065 1.6708 0.7403 -0.0686 0.4838 0.6977 4.0491 -0.0404 0.0404 0.4702 0 0
54 69 627 0 0 0 0 0 1.0025 0 0.9756 -0.0081 0.2045 0.2741 2.0489 0.7425 -0.0063 0.5124 0.7108 4.1412 -0.0866 0.0866 0.4689 0 0
54 70 640 0 0 0 0 0 1.0014 0 0.9554 -0.0426 0.2713 0.3603 2.4852 0.8268 -0.0452 0.3776 0.5362 4.0322 0.0181 0.0181 0.4011 0 0
54 71 628 0 0 0 0 0 1.0006 0 0.9398 0.1968 0.4955 0.7126 2.822 0.7678 0.0639 0.5077 0.6765 4.0617 0.075 0.075 0.4633 0 0
54 72 618 0 0 0 0 0 1.0012 0 0.8999 -0.004 0.3011 0.4048 1.7721 0.835 -0.0411 0.416 0.5829 4.0252 -0.0439 0.0439 0.3999 0 0
54 73 637 0 0 0 0 0 1.0001 0 0.948 0.0894 0.2712 0.3285 1.5752 0.7916 0.0472 0.426 0.6262 4.0913 0.2215 0.2215 0.3888 0 0
54 74 620 0 0 0 0 0 1.0002 0 0.9019 0.2396 0.3882 0.5787 2.4823 0.7886 0.1087 0.4865 0.6281 4.0934 -0.0564 0.0564 0.4402 0 0
54 75 645 0 0 0 0 0 1.0002 0 0.9362 0.0674 0.3136 0.4094 1.9572 0.778 0.0553 0.413 0.5991 4.0155 0.0691 0.0691 0.4229 0 0
54 76 542 0 0 0 0 0 1.0013 0 0.9437 0.1505 0.3863 0.4733 2.4512 0.7469 0.098 0.4801 0.6346 4.1038 -0.0058 0.0058 0.4732 0 0
54 77 593 0 0 0 0 0 1.0005 0 0.9748 -0.0867 0.2225 0.2596 1.8421 0.753 -0.0396 0.4321 0.5968 4.178 0.143 0.143 0.484 0 0
54 78 620 0 0 0 0 0 1.0001 0 0.9644 -0.047 0.2368 0.2993 1.902 0.7881 0.0556 0.4775 0.6407 4.0758 -0.1639 0.1639 0.4103 0 0
54 79 631 0 0 0 0 0 1.0002 0 0.9381 0.0974 0.2916 0.4506 2.4679 0.8112 0.0454 0.4088 0.5984 4.0393 0.024 0.024 0.4374 0 0
54 80 637 0 0 0 0 0 1.001 0 0.9374 -0.2431 0.3342 0.4091 2.0547 0.837 -0.1349 0.4014 0.5362 4.1421 -0.1056 0.1056 0.4452 0 0
54 81 568 0 0 0 0 0 1.0003 0 0.9759 0.0094 0.2086 0.2779 2.5772 0.7949 -0.0051 0.4379 0.5911 4.1495 -0.0478 0.0478 0.4443 0 0
54 82 648 0 0 0 0 0 1.0019 0 0.9218 0.2903 0.3517 0.5721 2.8553 0.7882 0.1808 0.4802 0.6496 4.1553 0.1615 0.1615 0.4844 0 0
54 83 586 0 0 0 0 0 1.0007 0 0.9785 -0.0373 0.1768 0.2191 1.5861 0.8536 0.0135 0.4094 0.5591 4.0633 -0.0137 0.0137 0.3878 0 0
