cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
1 27 457 0 0 0 0 0 1.0041 0 0.9773 0.1547 0.2181 0.2779 1 1.7991 0.8642 0.0636 0.4638 0.5846 0.98 2.5915 0.9569 0.0194 0.1697 0.2314 1 1.788 0.1178 0.1178 NA NA 1 0.59 0.2016 0.2016 0.2016 1.2016 1 1.5046 0.1538 0.1538 0.1538 1.1538 1 1.4179 0 0
1 28 382 0 0 0 0 0 1.0078 0 0.9727 0.3367 0.4835 0.6275 0.9167 1.9093 0.8602 0.3438 0.6255 0.7673 0.92 2.4851 0.8743 0.3662 0.4139 0.5031 0.98 1.6866 0.0344 0.0344 NA NA 1 0.7843 -0.2083 0.2083 -0.2083 0.7917 1 1.1566 -0.2438 0.2438 -0.2438 0.7562 1 1.0886 0 0
1 29 400 0 0 0 0 0 1.0018 0 0.9111 0.7644 0.7644 0.8454 0.5 1.7561 0.8513 0.6475 0.6996 0.8634 0.8 2.4069 0.9411 0.6296 0.637 0.7196 0.55 1.4938 -0.1519 0.1519 NA NA 1 0.611 -0.1829 0.1829 -0.1829 0.8171 1 1.0681 -0.2213 0.2213 -0.2213 0.7787 1 1.0306 0 0
1 30 409 0 0 0 0 0 1.0016 0 0.8766 -0.9012 0.915 1.1851 0.6667 1.9053 0.9004 -0.4789 0.6295 0.8096 0.88 2.4641 0.9668 -0.5784 0.5784 0.6402 0.7 1.5239 -0.3325 0.3325 NA NA 1 0.6487 -0.3037 0.3037 -0.3037 0.6963 1 1.036 -0.4004 0.4004 -0.4004 0.5996 1 0.9447 0 0
1 31 639 0 0 0 0 0 1.0029 0 0.9356 0.724 0.724 0.8332 0.6667 1.8315 0.9109 0.6907 0.7305 0.8929 0.82 2.6478 0.9904 0.5299 0.5299 0.5663 1 1.8931 0.1902 0.1902 NA NA 1 0.6472 0.0841 0.0841 0.0841 1.0841 1 1.4778 0.0085 0.0085 0.0085 1.0085 1 1.3211 0 0
1 32 392 0 0 0 0 0 1.0034 0 0.9342 -0.3725 0.4112 0.494 0.9167 1.7427 0.8889 -0.4068 0.5877 0.7389 0.9 2.4464 0.9891 -0.4426 0.4426 0.4549 1 1.6153 0.0287 0.0287 NA NA 1 0.6494 -0.1239 0.1239 -0.1239 0.8761 1 1.1636 -0.1503 0.1503 -0.1503 0.8497 1 1.1196 0 0
1 33 452 0 0 0 0 0 1.0063 0 0.8971 -1.7004 1.7004 1.7676 0.0833 2.1061 0.8808 -1.8523 1.8523 1.9405 0.25 3.2221 0.9814 -1.8284 1.8284 1.8344 0 2.1211 0.1327 0.1327 NA NA 1 0.7059 0.3556 0.3556 0.3556 1.3556 1 2.0299 0.2756 0.2756 0.2756 1.2756 1 1.8015 0 0
1 34 397 0 0 0 0 0 1.0036 0 0.9556 -0.9009 0.9261 1.0703 0.5833 1.9789 0.8796 -0.8194 0.8766 1.031 0.73 2.5399 0.9792 -0.7708 0.7708 0.8011 0.49 1.6453 0.0271 0.0271 NA NA 1 0.6167 -0.1046 0.1046 -0.1046 0.8954 1 1.2823 -0.1288 0.1288 -0.1288 0.8712 1 1.2287 0 0
1 35 429 0 0 0 0 0 1.0021 0 0.7874 1.0247 1.0247 1.1939 0.3333 1.8698 0.8905 0.8585 0.9591 1.1164 0.64 2.4552 0.8918 0.8853 0.8853 0.9441 0.44 1.7031 0.1752 0.1752 NA NA 1 0.7238 -0.2608 0.2608 -0.2608 0.7392 1 1.1483 -0.3127 0.3127 -0.3127 0.6873 1 1.0375 0 0
1 36 406 0 0 0 0 0 1.0025 0 0.926 0.2384 0.3428 0.3884 1 1.6814 0.856 0.1929 0.5261 0.6556 0.94 2.2841 0.9073 0.0902 0.2438 0.3121 1 1.4838 -0.0614 0.0614 NA NA 1 0.7201 -0.4008 0.4008 -0.4008 0.5992 1 0.8659 -0.423 0.423 -0.423 0.577 1 0.852 0 0
