"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF1" "ACF2" "ACF3" "racf" "lpacf" "mssd" "Item1" "Item2" "Item3" "Item1.1" "Item2.1" "Item3.1" "Item1.2" "Item2.2" "Item3.2" "Item1.3" "Item2.3" "Item3.3" "Item1.4" "Item2.4" "Item3.4" "Item1.5" "Item2.5" "Item3.5" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1005 "DPCM" 0 6 0 0 0 0 0.656 0.403 0.564 0.646 0.399 0.372 0.714 0.932 0.795 0.46 0.903 0.792 0.548 0.865 0.693 0.585 0.556 0.553 0.469 0.689 0.478 0.759 0.414 0.311 0.217 0.429 0.258 0.42 0.856 0.689 0.453 0.324 0.516 0.536 0.555 0.458 0.647 0.573 0.558
1005 "BiDim" 0 1 0 0 0 0 0.867 0.355 0.808 0.902 0.173 0.096 0.726 0.643 0.054 0.66 0.452 0.059 0.655 0.51 0.048 0.511 0.57 0.358 0.071 0.296 0.672 0.148 0.151 0.004 0.001 0.892 0.949 0.84 0.247 0.056 0.167 0.492 0.563 0.04 0.386 0.17 0.903 0.375 0.865
1005 "DRIFT" 0 0 0 0 0 0 0.598 0.456 0.46 0.666 0.415 0.397 0.797 0.577 0.895 0.649 0.534 0.758 0.816 0.447 0.837 0.596 0.615 0.426 0.354 0.432 0.585 0.313 0.237 0.754 0.518 0.115 0.441 0.488 0.871 0.75 0.674 0.683 0.932 0.542 0.467 0.548 0.908 0.788 0.778
1005 "GPCM" 0 0 0 0 0 0 0.642 0.508 0.651 0.598 0.417 0.377 0.968 0.256 0.609 0.944 0.797 0.213 0.889 0.745 0.455 0.598 0.362 0.41 0.561 0.571 0.309 0.226 0.352 0.416 0.25 0.21 0.775 0.716 0.976 0.132 0.434 0.243 0.548 0.556 0.277 0.28 0.52 0.664 0.711
1005 "AR3" 0 0 0 0 0 0 0.243 0.666 0.744 0.121 0.725 0.782 0.83 0.726 0.982 0.832 0.917 0.967 0.933 0.831 0.967 0.562 0.713 0.606 0.773 0.794 0.935 0.573 0.329 0.616 0.553 0.115 0.12 0.386 0.737 0.563 0.535 0.796 0.797 0.481 0.266 0.498 0.614 0.36 0.284
1006 "TV-DPCM" 0 0 0 0 0 0 0.612 0.474 0.548 0.618 0.441 0.414 0.402 0.697 0.644 0.436 0.674 0.357 0.417 0.431 0.535 0.426 0.56 0.602 0.205 0.855 0.501 0.756 0.38 0.507 0.58 0.463 0.406 0.292 0.775 0.933 0.217 0.018 0.122 0.561 0.548 0.498 0.486 0.664 0.374
1006 "DPCM" 0 0 0 0 0 0 0.687 0.578 0.346 0.475 0.387 0.339 0.724 0.585 0.357 0.573 0.548 0.265 0.535 0.566 0.175 0.596 0.462 0.485 0.525 0.348 0.572 0.607 0.742 0.784 0.169 0.579 0.67 0.595 0.762 0.754 0.399 0.329 0.119 0.497 0.579 0.518 0.385 0.622 0.692
1006 "BiDim" 0 0 0 0 0 0 0.501 0.641 0.775 0.311 0.532 0.472 0.871 0.818 0.021 0.894 0.882 0.049 0.934 0.896 0.116 0.53 0.637 0.172 0.546 0.191 0.86 0.022 0.353 0.004 0.001 0.884 0.934 0.971 0.067 0.051 0.026 0.732 0.65 0.024 0.245 0.118 0.386 0.808 0.913
1006 "DRIFT" 0 0 0 0 0 0 0.537 0.649 0.509 0.28 0.502 0.46 0.296 0.63 0.914 0.417 0.388 0.787 0.402 0.297 0.921 0.336 0.592 0.602 0.757 0.326 0.747 0.855 0.468 0.114 0.795 0.35 0.168 0.151 0.503 0.694 0.271 0.818 0.066 0.428 0.549 0.406 0.471 0.518 0.414
1006 "GPCM" 0 0 0 0 0 0 0.556 0.45 0.688 0.547 0.496 0.442 0.888 0.223 0.363 0.583 0.129 0.666 0.771 0.221 0.191 0.451 0.39 0.525 0.383 0.444 0.273 0.44 0.848 0.497 0.295 0.308 0.886 0.42 0.512 0.141 0.615 0.168 0.307 0.55 0.415 0.262 0.269 0.263 0.954
