cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
13 87 308 0 0 0 0 0 1.0003 0 0.9478 -0.0927 0.2904 0.3834 2.2293 0.8977 -0.0736 0.3543 0.4544 2.2469 -0.1336 0.1336 0.5166 0 0
13 88 378 0 0 0 0 0 1.0007 0 0.9688 0.031 0.3165 0.4293 2.4659 0.9173 -0.0796 0.3859 0.4771 2.1967 -0.0365 0.0365 0.4749 0 0
13 89 356 0 0 0 0 0 1.0007 0 0.9346 -0.0453 0.2445 0.3157 2.4063 0.8911 -0.0815 0.3162 0.4095 2.5517 0.0037 0.0037 0.4978 0 0
13 90 375 0 0 0 0 0 1.0004 0 0.9024 0.0153 0.3963 0.5019 2.1874 0.9269 0.1105 0.2977 0.3721 2.3699 0.0679 0.0679 0.4763 0 0
13 91 404 0 0 0 0 0 1.0002 0 0.8864 -0.2445 0.4695 0.6332 2.6368 0.9151 -0.0702 0.3425 0.4201 2.5113 0.0801 0.0801 0.4942 0 0
13 92 237 0 0 0 0 0 1.0009 0 0.952 -0.1267 0.2999 0.4195 2.2562 0.9057 -0.0497 0.3578 0.4395 2.0319 -0.1333 0.1333 0.4838 0 0
13 93 252 0 0 0 0 0 1.0003 0 0.9377 0.0786 0.3078 0.3626 2.1521 0.9129 0.0936 0.3146 0.3989 2.3393 -0.0937 0.0937 0.4884 0 0
13 94 410 0 0 0 0 0 1.0004 0 0.928 0.0939 0.2872 0.3587 1.8904 0.8889 0.0679 0.3699 0.454 2.6179 0.1571 0.1571 0.4492 0 0
13 95 377 0 0 0 0 0 1.0006 0 0.9702 0.0625 0.2615 0.3795 2.3474 0.9247 0.106 0.3455 0.4186 2.4176 -0.0825 0.0825 0.484 0 0
13 96 329 1 0 0 0 0 1.0011 0 0.9509 0.2405 0.3354 0.4255 2.7396 0.9136 0.1902 0.3422 0.4455 2.2962 -6e-04 6e-04 0.5323 1 0
13 97 286 0 0 0 0 0 1.0006 0 0.9452 0.1532 0.3567 0.5373 2.833 0.9347 0.0511 0.3157 0.4097 2.269 -0.1632 0.1632 0.4834 0 0
13 98 328 0 0 0 0 0 1.0004 0 0.9766 -0.116 0.2543 0.3397 2.4755 0.8993 -0.0994 0.3549 0.4485 2.1864 -0.0573 0.0573 0.5314 0 0
13 99 377 0 0 0 0 0 1.0003 0 0.9606 -0.1069 0.2069 0.2626 1.6565 0.9282 -0.0968 0.3505 0.4249 2.438 0.0062 0.0062 0.4376 0 0
13 100 319 0 0 0 0 0 1.0007 0 0.9179 -0.1572 0.3745 0.686 3.0892 0.9216 0.0374 0.3208 0.4127 2.3043 -0.1401 0.1401 0.4888 0 0
