cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
36 36 1263 0 0 0 0 0 1.0009 0 0.9937 0.0034 0.0619 0.0672 1.1749 0.9972 -0.0295 0.1051 0.1468 1.8956 0.6956 0.0674 0.5907 0.7399 4.0893 -0.0499 0.0499 0.3666 0 0
36 37 1251 0 0 0 0 0 1.0006 0 0.7838 0.0145 0.1707 0.1767 1.1268 0.9915 0.0687 0.117 0.1383 0.9262 0.7075 0.0549 0.5622 0.7191 4.0855 0.031 0.031 0.313 0 0
36 38 1207 0 0 0 0 0 1.0002 0 0.9638 -0.0765 0.0765 0.0886 0.8669 0.9991 0.0961 0.1007 0.1285 2.1747 0.6312 0.0717 0.6458 0.8086 4.228 0.1054 0.1054 0.4318 0 0
36 39 1292 0 0 0 0 0 1.0004 0 0.979 -0.0506 0.1814 0.182 1.2264 0.9889 -0.0711 0.1715 0.2137 1.5404 0.7479 -0.0965 0.5486 0.6826 4.0926 0.0396 0.0396 0.3013 0 0
36 40 1240 0 0 0 0 0 1.0005 0 0.9489 0.0109 0.0925 0.1041 1.0739 0.9967 -0.035 0.0795 0.098 1.9656 0.6148 -0.0381 0.6708 0.8397 4.1857 0.1037 0.1037 0.357 0 0
36 41 1217 0 0 0 0 0 1.0009 0 0.986 -0.0898 0.1357 0.1486 1.0904 0.9866 0.002 0.205 0.2463 2.8562 0.5672 0.0437 0.6593 0.8407 4.4151 0.1862 0.1862 0.4909 0 0
36 42 1203 0 0 0 0 0 1.0035 0 0.7712 0.0785 0.0785 0.0879 1.203 0.9973 0.034 0.0815 0.0924 3.3502 0.5191 -0.006 0.6685 0.8645 4.365 -0.1633 0.1633 0.7011 0 0
36 43 1307 0 0 0 0 0 1.0021 0 0.8253 -0.212 0.2323 0.2762 1.447 0.9687 0.3741 0.5509 0.7966 5.6683 0.4826 6e-04 0.6641 0.8548 4.3087 0.1428 0.1428 0.4498 0 0
36 44 1314 0 0 0 0 0 1.0007 0 0.4877 -0.227 0.2996 0.3289 1.0877 0.9505 -0.578 0.7029 1.1585 9.4441 0.6398 -0.001 0.6185 0.7817 4.2895 0.1198 0.1198 0.5539 0 0
36 45 1212 0 0 0 0 0 1.001 0 0.9943 -0.0874 0.1113 0.1477 1.2384 0.9845 0.013 0.219 0.3038 2.885 0.6762 -0.1411 0.6058 0.776 4.2372 0.1257 0.1257 0.3216 0 0
36 46 1282 0 0 0 0 0 1.0109 2 0.4625 0.0711 0.1439 0.1709 2.5981 0.9891 0.0586 0.2103 0.2886 3.8842 0.5617 -0.0327 0.6398 0.7981 4.1775 -0.1576 0.1576 0.5877 1 0
36 47 1255 0 0 0 0 0 1.0012 0 0.873 0.1477 0.2158 0.2925 1.5286 0.9887 -0.0372 0.2131 0.2588 2.1423 0.7247 0.0666 0.5509 0.7245 4.1037 -0.0068 0.0068 0.3248 0 0
36 48 1170 0 0 0 0 0 1.0012 0 0.735 0.0769 0.1392 0.1488 1.1985 0.9949 -0.0153 0.0929 0.1103 2.0081 0.6186 -0.0161 0.6238 0.7995 4.1062 -0.1705 0.1705 0.4856 0 0
36 49 1267 0 0 0 0 0 1.0024 0 0.5711 -0.2338 0.2928 0.3295 1.6436 0.9573 -0.2194 0.5209 0.7579 7.7815 0.6373 0.041 0.6077 0.7749 4.1718 -0.0856 0.0856 0.631 0 0
36 50 1251 0 0 0 0 0 1.0004 0 0.9849 0.2039 0.2039 0.2112 1.5472 0.9904 -0.2554 0.2822 0.4176 1.9208 0.6227 -0.0723 0.6537 0.8145 4.1012 0.0179 0.0179 0.3493 0 0
36 51 1254 0 0 0 0 0 1.0012 0 0.2836 -0.0534 0.1737 0.1787 1.1209 0.989 0.023 0.1458 0.1796 1.4217 0.6555 0.0105 0.6264 0.7914 4.1711 0.072 0.072 0.4406 0 0
36 52 1208 0 0 0 0 0 1.0026 0 0.7393 -0.3714 0.3763 0.5609 1.4847 0.9846 0.5672 0.6359 0.8797 4.6266 0.6048 0.0217 0.6194 0.795 4.3482 -0.1223 0.1223 0.6152 0 0
36 53 1209 0 0 0 0 0 1.0006 0 0.9438 -0.0694 0.0774 0.0903 1.1209 0.9985 0.0589 0.1177 0.1551 2.0179 0.6446 0.0526 0.6146 0.7788 4.0609 -0.1077 0.1077 0.4904 0 0
36 54 1186 0 0 0 0 0 1.0016 0 -0.9999 -0.1865 0.2489 0.3021 1.4899 0.9828 0.0234 0.2758 0.386 3.1376 0.5978 0.0588 0.6199 0.785 4.2285 -0.049 0.049 0.5462 0 0
36 55 1239 0 0 0 0 0 1.0003 0 0.8609 0.1197 0.2575 0.3395 1.3019 0.9614 -0.0309 0.2917 0.4289 6.0221 0.6719 -0.0403 0.5897 0.7481 4.1466 0.0336 0.0336 0.3324 0 0
36 56 1274 0 0 0 0 0 1.0012 0 0.9554 -0.0291 0.0444 0.0645 0.9148 0.9901 -0.081 0.2241 0.2579 1.8183 0.6379 -0.0185 0.604 0.7633 4.2357 0.0749 0.0749 0.4592 0 0
36 57 1265 0 0 0 0 0 1.0007 0 0.8746 -0.1643 0.1643 0.1856 1.0053 0.9961 -0.0619 0.2664 0.3733 4.6509 0.6403 -0.0181 0.6244 0.799 4.1806 7e-04 7e-04 0.4389 0 0
36 58 1242 0 0 0 0 0 1.0005 0 0.0397 -0.0571 0.1786 0.1819 1.1205 0.9882 0.069 0.2619 0.3236 3.0133 0.5585 -0.0471 0.6678 0.8521 4.2214 0.1006 0.1006 0.4789 0 0
36 59 1234 0 0 0 0 0 1.0005 0 0.66 -0.2597 0.2597 0.27 0.9035 0.9982 -0.0605 0.4801 0.5566 4.6905 0.5857 0.029 0.6496 0.8084 4.1834 0.0054 0.0054 0.5446 0 0
36 60 1279 0 0 0 0 0 1.003 0 0.9142 0.0327 0.2194 0.2558 1.7505 0.9945 -0.0394 0.198 0.2397 2.5532 0.6621 -0.0858 0.6021 0.7609 4.0784 -0.0933 0.0933 0.4033 0 0
36 61 1245 0 0 0 0 0 1.001 0 0.9367 -0.2105 0.2105 0.2122 0.8698 0.9988 0.0053 0.1601 0.1868 1.592 0.7149 0.0181 0.5552 0.7171 4.2181 0.1107 0.1107 0.3698 0 0
36 62 1198 0 0 0 0 0 1.0008 0 -0.1338 0.0622 0.3327 0.3807 1.6806 0.9773 0.2495 0.3101 0.3983 3.5666 0.5958 -0.0436 0.6599 0.8248 4.1052 -0.0422 0.0422 0.4578 0 0
36 63 1245 0 0 0 0 0 1.0021 0 0.9843 0.1668 0.1998 0.2265 1.2107 0.9943 0.0725 0.0928 0.1283 1.7021 0.659 0.0352 0.6122 0.7783 4.1215 0.0107 0.0107 0.3567 0 0
36 64 1281 0 0 0 0 0 1.0015 0 0.9498 -0.147 0.2199 0.2502 0.8834 0.9875 0.133 0.2208 0.2904 1.8166 0.6463 0.0541 0.6371 0.7994 4.1498 0.0678 0.0678 0.4542 0 0
36 65 1303 0 0 0 0 0 1.0014 0 0.2463 -0.1329 0.2247 0.3148 0.9783 0.9787 -0.1946 0.2504 0.3941 2.7881 0.6734 0.0186 0.6198 0.7729 4.124 0.0196 0.0196 0.419 0 0
36 66 1242 0 0 0 0 0 1.0013 0 0.7479 -0.1111 0.137 0.1642 0.9044 0.9963 0.2112 0.2279 0.307 1.9081 0.6369 0.1628 0.6644 0.8357 4.5546 0.2556 0.2556 0.3354 0 0
36 67 1251 0 0 0 0 0 1.0004 0 0.5529 -0.0183 0.2827 0.3067 1.4451 0.9943 0.0044 0.1438 0.1872 2.4058 0.6577 0.021 0.5955 0.75 4.05 -0.06 0.06 0.3769 0 0
36 68 1238 0 0 0 0 0 1.0011 0 -0.8367 0.0391 0.191 0.1931 1.1114 0.9818 -0.2745 0.3071 0.3891 3.1734 0.5924 -0.0071 0.6908 0.8609 4.158 0.0833 0.0833 0.4019 0 0
36 69 1199 0 0 0 0 0 1.0003 0 -0.1454 -0.0322 0.1523 0.1647 0.9821 0.9886 -0.0495 0.1255 0.1798 1.4509 0.6858 0.0148 0.5641 0.7133 4.0504 -0.0544 0.0544 0.4218 0 0
36 70 1224 0 0 0 0 0 1.0009 0 0.8506 -0.2961 0.2961 0.3402 1.1241 0.9969 0.0426 0.3641 0.4892 4.4014 0.6498 -0.1338 0.6312 0.8221 4.1252 -0.025 0.025 0.5299 0 0
36 71 1229 0 0 0 0 0 1.0004 0 0.7897 -0.1869 0.201 0.2784 1.0742 0.9971 0.1387 0.1936 0.2498 1.9317 0.6908 0.0252 0.5635 0.7385 4.1933 0.0595 0.0595 0.3364 0 0
36 72 1191 0 0 0 0 0 1.0005 0 0.9314 0.023 0.055 0.067 1.1207 0.9985 -0.0172 0.0922 0.125 1.3248 0.7074 0.0414 0.5854 0.7528 4.0671 -0.0268 0.0268 0.364 0 0
36 73 1231 0 0 0 0 0 1.0014 0 0.4638 0.0151 0.1656 0.1944 1.2192 0.9961 -0.1241 0.1327 0.1662 1.4981 0.6841 -0.0494 0.5823 0.7498 4.0617 -0.1136 0.1136 0.3953 0 0
36 74 1206 0 0 0 0 0 1.0008 0 0.9631 -0.025 0.1551 0.1632 1.3197 0.9904 0.0364 0.2088 0.2839 3.6609 0.607 -0.0281 0.6744 0.8483 4.0872 -0.1314 0.1314 0.5085 0 0
36 75 1228 0 0 0 0 0 1.0009 0 0.5081 -0.1308 0.1308 0.1551 1.2996 0.9931 0.0261 0.1501 0.1959 3.2918 0.6147 -0.0361 0.6749 0.8531 4.122 0.0145 0.0145 0.4625 0 0
36 76 1258 0 0 0 0 0 1.0004 0 0.9943 0.1121 0.1121 0.1487 1.4418 0.998 0.0169 0.0959 0.1224 1.8509 0.6881 0.035 0.5918 0.7372 4.0448 -0.0476 0.0476 0.3492 0 0
36 77 1237 0 0 0 0 0 1.0013 0 0.9968 -0.0259 0.106 0.1149 1.2633 0.976 0.0514 0.1832 0.2752 2.3792 0.6862 -0.0546 0.5916 0.7577 4.1586 0.1055 0.1055 0.4041 0 0
36 78 1277 0 0 0 0 0 1.0005 0 0.9925 0.0516 0.0616 0.0735 1.2531 0.9952 0.0787 0.104 0.1524 1.4102 0.7243 0.0897 0.5632 0.7053 4.08 0.0027 0.0027 0.3661 0 0
36 79 1168 0 0 0 0 0 1.0009 0 -0.6612 0.0408 0.2946 0.3312 1.7393 0.9898 0.3997 0.3997 0.5037 4.6173 0.5723 -0.0292 0.6764 0.862 4.16 0.03 0.03 0.478 0 0
36 80 1245 0 0 0 0 0 1.0016 0 0.9982 -0.0865 0.0865 0.0996 1.4161 0.9972 0.1026 0.2377 0.3033 3.6842 0.621 -0.01 0.6647 0.845 4.0664 -0.047 0.047 0.4216 0 0
36 81 1225 0 0 0 0 0 1.0031 0 -0.6868 -0.0209 0.3653 0.4265 1.6379 0.9285 -0.1074 0.3747 0.5627 3.6613 0.6303 -0.0129 0.6246 0.7832 4.1513 -0.0775 0.0775 0.4102 0 0
